model_name,model_type,target_transform,mean_r2,median_r2,std_r2,min_r2,max_r2,mean_mae,median_mae,std_mae,mean_rmse,median_rmse,std_rmse,mean_mape,median_mape,mean_directional_accuracy,median_directional_accuracy,folds,r2_win_count
gradient_boosted_trees_depth_3_50_lr_0_1,gradient_boosted_regression_trees,none,-0.06936010780535451,-0.05990558455819184,0.10601644645123219,-0.18631359307671236,0.08822087890428909,71494.02480180949,34042.53793881856,68836.34143566282,102888.72019813224,50384.56576728723,103025.70955441905,11.686958110233771,7.418919252443056,0.6770833333333334,0.6875,8,3
rolling_mean_6h,naive,none,-0.1314739244851111,-0.18753501369156822,0.24516681136510635,-0.3927873365240211,0.34003814235374363,71886.74500641464,40084.760259253264,66573.01536362263,98410.4766899006,55391.92435376373,93160.55560323125,12.0884296568958,8.569363655057472,0.6354166666666666,0.6458333333333333,8,1
persistence,naive,none,-0.2594422184469638,-0.21933229954436628,0.5079895729549103,-1.2344836525651939,0.4177056174346343,66105.237090472,44448.672636688934,46569.334326851786,96297.28819363996,63047.26331923497,79127.80343431972,10.951093996903994,9.347648652850424,0.0,0.0,8,1
ridge_alpha_10_log1p_target,ridge_regression,log1p,-0.5453559852244436,-0.21576954186185893,0.7893458824413546,-2.1968695130311073,0.08590249541103234,75788.48662772082,44697.95540020212,62240.46705865854,109090.61779957819,68217.64683686616,94303.25809962561,11.377339898694164,8.96484227062296,0.6666666666666666,0.6666666666666666,8,0
ridge_alpha_1_log1p_target,ridge_regression,log1p,-0.6009299038909084,-0.30149280645705534,0.912447824353754,-2.6783496158293985,0.10163458675245463,77941.6032690099,45293.53530896499,66424.35732304392,112446.33864101696,68246.67391932127,99534.81753345793,11.527192979178762,8.724439176071673,0.6770833333333334,0.6458333333333333,8,1
ridge_alpha_100_log1p_target,ridge_regression,log1p,-0.656009286894365,-0.16847331573972057,0.946301197206119,-2.148136828536886,0.06999598242817584,77330.08234794458,47204.54775568229,63308.50551244518,110254.7246074611,70558.50580544717,94070.96029595856,11.748833212770046,9.621503387188305,0.6458333333333334,0.6666666666666666,8,1
gradient_boosted_stumps_200_lr_0_03,gradient_boosted_regression_trees,none,-0.777260596202531,-0.9085512179850977,0.6467507336052413,-1.6643107418210037,0.4785023300608796,83776.1035905581,50417.65934621447,68784.78672150664,111542.26624441589,70602.524573112,91822.99977347405,15.14542743863954,10.793367836080416,0.609375,0.6041666666666667,8,0
gradient_boosted_stumps_100_lr_0_05,gradient_boosted_regression_trees,none,-0.9117467882264015,-0.9458908118274433,0.7687997932582918,-1.8982338430543804,0.472664524733187,86026.279732558,53323.01985618657,69016.70203799181,113494.1348673169,68664.34451381087,91424.29964376662,15.652534063384847,11.623598516569816,0.6145833333333334,0.6458333333333333,8,0
ridge_alpha_10,ridge_regression,none,-1.3900650200631695,-0.22883166534577093,2.6744183712395926,-7.237914747567874,0.48922219579450177,70740.29909669273,55170.81701465146,46440.26818646764,106720.01695474682,76549.62034464977,77090.26791297305,11.79625874999389,10.543714342010983,0.6614583333333334,0.6666666666666666,8,1
ridge_alpha_100,ridge_regression,none,-1.4141709605482797,-0.38374201243772554,2.2934091335651257,-5.215611769860982,0.4843822847211541,74289.00002003965,58409.02554024539,45932.10387628396,107060.48727555301,79125.26858142819,73985.02751535969,12.595624242979348,11.313380464795234,0.6145833333333333,0.5833333333333333,8,0
ridge_alpha_1,ridge_regression,none,-1.6052651542144338,-0.20483907141798186,3.209678187090574,-9.018214953543545,0.4659950476153871,71670.67281579846,56449.45061783833,46683.52374620771,109211.12086437423,76963.88193342435,78060.35582210038,11.846407923082122,10.542544331330816,0.6770833333333334,0.6666666666666666,8,0
seasonal_naive_24h,naive,none,-3.451644587829228,-1.6189271093476114,5.249121357097255,-16.095383666437858,-0.13156893020272498,135275.07155774656,69425.84635021836,123639.08981065759,175406.66307872444,87864.98765696917,156530.0731574173,21.613591449029418,13.447035752721597,0.609375,0.6041666666666667,8,0
gradient_boosted_stumps_50_lr_0_05,gradient_boosted_regression_trees,none,-6.387070179014904,-3.8125208493272598,7.193989579712301,-19.567149519638928,0.41443699418226143,134213.68375837183,115922.84820147723,68532.4698519441,161772.88850469945,144357.2459259897,83390.88815827823,25.985400100742694,24.79100392953155,0.5625,0.5208333333333333,8,0
